session_id,provider,requested_model,resolved_model,model,benchmark_name,benchmark_alias,perturbation_type,item_id,problem_id,question_id,difficulty,finish_reason,token_count,assistant_chars,window_count,mean_entropy,entropy_variance,mean_gap,mean_top1_logprob,perplexity,threshold_crossing_ratio,persistent_crossing_ratio,recovery_observed,regime,trajectory_assessment,truncation_flag,raw_path
cocc-2727_negation_objective_0-1808d36c,openai,gpt-4.1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,chain_of_code_collapse,break_the_chain_code_generation,negation_objective,2727_negation_objective_0,2727,,easy,stop,279.000000,915,15,0.210712,0.085243,11.348599,-0.199078,1.220277,0.733333,0.500000,True,III_STRUCTURAL_PULSATION,THRESHOLD_CROSSED_STRUCTURAL_PULSATION,False,results\cocc_prama_gpt41_negation_objective_n235\sessions\cocc-2727_negation_objective_0-1808d36c\raw.json
cocc-2728_negation_objective_1-fdd9a0e1,openai,gpt-4.1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,chain_of_code_collapse,break_the_chain_code_generation,negation_objective,2728_negation_objective_1,2728,,medium,stop,3062.000000,10368,189,0.251823,0.102210,7.456643,-0.264856,1.303243,0.740741,0.301075,True,III_STRUCTURAL_PULSATION,THRESHOLD_CROSSED_STRUCTURAL_PULSATION,False,results\cocc_prama_gpt41_negation_objective_n235\sessions\cocc-2728_negation_objective_1-fdd9a0e1\raw.json
cocc-2730_negation_objective_2-7ad4c7a7,openai,gpt-4.1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,chain_of_code_collapse,break_the_chain_code_generation,negation_objective,2730_negation_objective_2,2730,,medium,stop,1982.000000,7785,121,0.369193,0.109044,4.574678,-0.379466,1.461503,0.628099,0.184874,True,III_STRUCTURAL_PULSATION,THRESHOLD_CROSSED_STRUCTURAL_PULSATION,False,results\cocc_prama_gpt41_negation_objective_n235\sessions\cocc-2730_negation_objective_2-7ad4c7a7\raw.json
cocc-2754_negation_objective_3-38908c52,openai,gpt-4.1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,chain_of_code_collapse,break_the_chain_code_generation,negation_objective,2754_negation_objective_3,2754,,medium,stop,620.000000,2327,36,0.284793,0.108553,7.444976,-0.287683,1.333334,0.750000,0.370370,True,III_STRUCTURAL_PULSATION,THRESHOLD_CROSSED_STRUCTURAL_PULSATION,False,results\cocc_prama_gpt41_negation_objective_n235\sessions\cocc-2754_negation_objective_3-38908c52\raw.json
cocc-2755_negation_objective_4-f8371e7d,openai,gpt-4.1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,chain_of_code_collapse,break_the_chain_code_generation,negation_objective,2755_negation_objective_4,2755,,medium,stop,723.000000,2562,43,0.227504,0.088315,8.044794,-0.216236,1.241396,0.558140,0.195122,True,III_STRUCTURAL_PULSATION,THRESHOLD_CROSSED_STRUCTURAL_PULSATION,False,results\cocc_prama_gpt41_negation_objective_n235\sessions\cocc-2755_negation_objective_4-f8371e7d\raw.json
cocc-2756_negation_objective_5-6a4a59d5,openai,gpt-4.1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,chain_of_code_collapse,break_the_chain_code_generation,negation_objective,2756_negation_objective_5,2756,,easy,stop,462.000000,1651,26,0.265652,0.106414,8.719879,-0.278502,1.321149,0.846154,0.500000,True,III_STRUCTURAL_PULSATION,THRESHOLD_CROSSED_STRUCTURAL_PULSATION,False,results\cocc_prama_gpt41_negation_objective_n235\sessions\cocc-2756_negation_objective_5-6a4a59d5\raw.json
cocc-2757_negation_objective_6-f12c1c8f,openai,gpt-4.1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,chain_of_code_collapse,break_the_chain_code_generation,negation_objective,2757_negation_objective_6,2757,,hard,stop,2082.000000,6635,128,0.141291,0.067027,11.019670,-0.139712,1.149943,0.632812,0.283186,True,III_STRUCTURAL_PULSATION,THRESHOLD_CROSSED_STRUCTURAL_PULSATION,False,results\cocc_prama_gpt41_negation_objective_n235\sessions\cocc-2757_negation_objective_6-f12c1c8f\raw.json
cocc-2777_negation_objective_7-e6f77fe0,openai,gpt-4.1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,chain_of_code_collapse,break_the_chain_code_generation,negation_objective,2777_negation_objective_7,2777,,easy,length,4096.000000,10938,253,0.113072,0.059873,10.672249,-0.121852,1.129587,0.367589,0.132530,True,III_STRUCTURAL_PULSATION,THRESHOLD_CROSSED_STRUCTURAL_PULSATION,True,results\cocc_prama_gpt41_negation_objective_n235\sessions\cocc-2777_negation_objective_7-e6f77fe0\raw.json
cocc-2779_negation_objective_8-bc3075d7,openai,gpt-4.1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,chain_of_code_collapse,break_the_chain_code_generation,negation_objective,2779_negation_objective_8,2779,,medium,stop,2749.000000,8685,169,0.233345,0.099364,8.260002,-0.244977,1.277592,0.781065,0.415663,True,III_STRUCTURAL_PULSATION,THRESHOLD_CROSSED_STRUCTURAL_PULSATION,False,results\cocc_prama_gpt41_negation_objective_n235\sessions\cocc-2779_negation_objective_8-bc3075d7\raw.json
cocc-2784_negation_objective_9-5e41a75c,openai,gpt-4.1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,chain_of_code_collapse,break_the_chain_code_generation,negation_objective,2784_negation_objective_9,2784,,hard,stop,887.000000,2797,53,0.249325,0.095506,6.996808,-0.246024,1.278930,0.547170,0.170213,True,III_STRUCTURAL_PULSATION,THRESHOLD_CROSSED_STRUCTURAL_PULSATION,False,results\cocc_prama_gpt41_negation_objective_n235\sessions\cocc-2784_negation_objective_9-5e41a75c\raw.json
cocc-2785_negation_objective_10-dd396371,openai,gpt-4.1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,chain_of_code_collapse,break_the_chain_code_generation,negation_objective,2785_negation_objective_10,2785,,easy,length,4096.000000,13664,253,0.204386,0.092690,7.497406,-0.212314,1.236536,0.557312,0.342975,True,III_STRUCTURAL_PULSATION,THRESHOLD_CROSSED_STRUCTURAL_PULSATION,True,results\cocc_prama_gpt41_negation_objective_n235\sessions\cocc-2785_negation_objective_10-dd396371\raw.json
