session_id,provider,requested_model,resolved_model,model,benchmark_name,benchmark_alias,perturbation_type,item_id,problem_id,question_id,difficulty,finish_reason,token_count,assistant_chars,window_count,mean_entropy,entropy_variance,mean_gap,mean_top1_logprob,perplexity,threshold_crossing_ratio,persistent_crossing_ratio,recovery_observed,regime,trajectory_assessment,truncation_flag,raw_path
cocc-2727_negation_objective_0-8decc4b6,deepseek,deepseek-chat,deepseek-v4-flash,deepseek-v4-flash,chain_of_code_collapse,break_the_chain_code_generation,negation_objective,2727_negation_objective_0,2727,,easy,stop,102.000000,366,4,0.047807,0.019524,1.683145,-0.046284,1.047372,0.250000,0.000000,False,CALIBRATING,INSUFFICIENT_HISTORY,False,results\cocc_prama_deepseek_negation_objective_n235\sessions\cocc-2727_negation_objective_0-8decc4b6\raw.json
cocc-2728_negation_objective_1-d839cbbe,deepseek,deepseek-chat,deepseek-v4-flash,deepseek-v4-flash,chain_of_code_collapse,break_the_chain_code_generation,negation_objective,2728_negation_objective_1,2728,,medium,stop,1608.000000,6064,98,0.048388,0.019641,1.875987,-0.064296,1.066408,0.795918,0.419355,True,III_STRUCTURAL_PULSATION,THRESHOLD_CROSSED_STRUCTURAL_PULSATION,False,results\cocc_prama_deepseek_negation_objective_n235\sessions\cocc-2728_negation_objective_1-d839cbbe\raw.json
cocc-2730_negation_objective_2-4a77c72b,deepseek,deepseek-chat,deepseek-v4-flash,deepseek-v4-flash,chain_of_code_collapse,break_the_chain_code_generation,negation_objective,2730_negation_objective_2,2730,,medium,stop,1170.000000,5036,71,0.051072,0.020771,2.201730,-0.063844,1.065926,0.647887,0.359375,True,III_STRUCTURAL_PULSATION,THRESHOLD_CROSSED_STRUCTURAL_PULSATION,False,results\cocc_prama_deepseek_negation_objective_n235\sessions\cocc-2730_negation_objective_2-4a77c72b\raw.json
cocc-2754_negation_objective_3-57204e26,deepseek,deepseek-chat,deepseek-v4-flash,deepseek-v4-flash,chain_of_code_collapse,break_the_chain_code_generation,negation_objective,2754_negation_objective_3,2754,,medium,stop,836.000000,3058,50,0.033681,0.015159,1.760454,-0.044019,1.045002,0.980000,0.897959,True,III_STRUCTURAL_PULSATION,THRESHOLD_CROSSED_STRUCTURAL_PULSATION,False,results\cocc_prama_deepseek_negation_objective_n235\sessions\cocc-2754_negation_objective_3-57204e26\raw.json
cocc-2755_negation_objective_4-bac6b66e,deepseek,deepseek-chat,deepseek-v4-flash,deepseek-v4-flash,chain_of_code_collapse,break_the_chain_code_generation,negation_objective,2755_negation_objective_4,2755,,medium,length,4096.000000,13408,253,0.041371,0.017007,1.800203,-0.053641,1.055105,0.881423,0.662651,True,III_STRUCTURAL_PULSATION,THRESHOLD_CROSSED_STRUCTURAL_PULSATION,True,results\cocc_prama_deepseek_negation_objective_n235\sessions\cocc-2755_negation_objective_4-bac6b66e\raw.json
cocc-2756_negation_objective_5-9bc13646,deepseek,deepseek-chat,deepseek-v4-flash,deepseek-v4-flash,chain_of_code_collapse,break_the_chain_code_generation,negation_objective,2756_negation_objective_5,2756,,easy,stop,166.000000,676,8,0.024397,0.007685,1.826200,-0.063585,1.065650,0.000000,0.000000,False,CALIBRATING,INSUFFICIENT_HISTORY,False,results\cocc_prama_deepseek_negation_objective_n235\sessions\cocc-2756_negation_objective_5-9bc13646\raw.json
cocc-2757_negation_objective_6-e07b6b06,deepseek,deepseek-chat,deepseek-v4-flash,deepseek-v4-flash,chain_of_code_collapse,break_the_chain_code_generation,negation_objective,2757_negation_objective_6,2757,,hard,stop,960.000000,3678,57,0.025232,0.011370,1.048959,-0.030624,1.031098,0.736842,0.407407,True,III_STRUCTURAL_PULSATION,THRESHOLD_CROSSED_STRUCTURAL_PULSATION,False,results\cocc_prama_deepseek_negation_objective_n235\sessions\cocc-2757_negation_objective_6-e07b6b06\raw.json
cocc-2777_negation_objective_7-fa6ab3ba,deepseek,deepseek-chat,deepseek-v4-flash,deepseek-v4-flash,chain_of_code_collapse,break_the_chain_code_generation,negation_objective,2777_negation_objective_7,2777,,easy,stop,317.000000,1374,17,0.036594,0.015016,1.970175,-0.059312,1.061106,0.941176,0.375000,True,III_STRUCTURAL_PULSATION,THRESHOLD_CROSSED_STRUCTURAL_PULSATION,False,results\cocc_prama_deepseek_negation_objective_n235\sessions\cocc-2777_negation_objective_7-fa6ab3ba\raw.json
cocc-2779_negation_objective_8-056865ea,deepseek,deepseek-chat,deepseek-v4-flash,deepseek-v4-flash,chain_of_code_collapse,break_the_chain_code_generation,negation_objective,2779_negation_objective_8,2779,,medium,length,4096.000000,12927,253,0.035963,0.013796,1.729722,-0.045943,1.047015,0.719368,0.415323,True,III_STRUCTURAL_PULSATION,THRESHOLD_CROSSED_STRUCTURAL_PULSATION,True,results\cocc_prama_deepseek_negation_objective_n235\sessions\cocc-2779_negation_objective_8-056865ea\raw.json
cocc-2784_negation_objective_9-33fff235,deepseek,deepseek-chat,deepseek-v4-flash,deepseek-v4-flash,chain_of_code_collapse,break_the_chain_code_generation,negation_objective,2784_negation_objective_9,2784,,hard,stop,486.000000,1694,28,0.040589,0.014868,2.317437,-0.066702,1.068977,0.750000,0.708333,True,III_STRUCTURAL_PULSATION,THRESHOLD_CROSSED_STRUCTURAL_PULSATION,False,results\cocc_prama_deepseek_negation_objective_n235\sessions\cocc-2784_negation_objective_9-33fff235\raw.json
